X,Y,Z,Rotation,Data
20.0,40.0,0.0,0,0.1G
20.0,40.0,10.0,0,0.1G
20.0,40.0,20.0,0,0.1G
20.0,40.0,30.0,0,0.1G
20.0,40.0,40.0,0,0.1G
20.0,30.0,40.0,0,0.1G
20.0,30.0,30.0,0,0.1G
20.0,30.0,20.0,0,0.1G
20.0,30.0,10.0,0,0.1G
20.0,30.0,0.0,0,0.1G
20.0,20.0,0.0,0,0.1G
20.0,20.0,10.0,0,0.1G
20.0,20.0,20.0,0,0.1G
20.0,20.0,30.0,0,0.1G
20.0,20.0,40.0,0,0.1G
30.0,20.0,40.0,0,0.1G
30.0,20.0,30.0,0,0.1G
30.0,20.0,20.0,0,0.1G
30.0,20.0,10.0,0,0.1G
30.0,20.0,0.0,0,0.1G
30.0,30.0,0.0,0,0.1G
30.0,30.0,10.0,0,0.1G
30.0,30.0,20.0,0,0.1G
30.0,30.0,30.0,0,0.1G
30.0,30.0,40.0,0,0.1G
30.0,40.0,40.0,0,0.1G
30.0,40.0,30.0,0,0.1G
30.0,40.0,20.0,0,0.1G
30.0,40.0,10.0,0,0.1G
30.0,40.0,0.0,0,0.1G
40.0,40.0,0.0,0,0.1G
40.0,40.0,10.0,0,0.1G
40.0,40.0,20.0,0,0.1G
40.0,40.0,30.0,0,0.1G
40.0,40.0,40.0,0,0.1G
40.0,30.0,40.0,0,0.1G
40.0,30.0,30.0,0,0.1G
40.0,30.0,20.0,0,0.1G
40.0,30.0,10.0,0,0.1G
40.0,30.0,0.0,0,0.1G
40.0,20.0,0.0,0,0.1G
40.0,20.0,10.0,0,0.1G
40.0,20.0,20.0,0,0.1G
40.0,20.0,30.0,0,0.1G
40.0,20.0,40.0,0,0.1G
