X,Y,Z,Rotation,Data,Unit
-10.0,-0.0,-50.0,170.0,-6.191,G
-10.0,-0.0,-40.0,170.0,-6.110,G
-10.0,-0.0,-30.0,170.0,-6.062,G
-10.0,-0.0,-20.0,170.0,-6.066,G
-10.0,-0.0,-10.0,170.0,-6.081,G
-10.0,-0.0,0.0,170.0,-6.103,G
-10.0,-0.0,10.0,170.0,-6.115,G
-10.0,-0.0,20.0,170.0,-6.117,G
-10.0,-0.0,30.0,170.0,-6.117,G
-10.0,-0.0,40.0,170.0,-6.106,G
-10.0,-0.0,50.0,170.0,-6.082,G
-8.0,-0.0,50.0,170.0,-5.639,G
-8.0,-0.0,40.0,170.0,-5.529,G
-8.0,-0.0,30.0,170.0,-5.507,G
-8.0,-0.0,20.0,170.0,-5.537,G
-8.0,-0.0,10.0,170.0,-5.546,G
-8.0,-0.0,0.0,170.0,-5.541,G
-8.0,-0.0,-10.0,170.0,-5.538,G
-8.0,-0.0,-20.0,170.0,-5.530,G
-8.0,-0.0,-30.0,170.0,-5.560,G
-8.0,-0.0,-40.0,170.0,-5.556,G
-8.0,-0.0,-50.0,170.0,-5.566,G
-6.0,-0.0,-50.0,170.0,-5.141,G
-6.0,-0.0,-40.0,170.0,-4.940,G
-6.0,-0.0,-30.0,170.0,-4.907,G
-6.0,-0.0,-20.0,170.0,-4.928,G
-6.0,-0.0,-10.0,170.0,-4.927,G
-6.0,-0.0,0.0,170.0,-4.957,G
-6.0,-0.0,10.0,170.0,-4.945,G
-6.0,-0.0,20.0,170.0,-4.959,G
-6.0,-0.0,30.0,170.0,-4.973,G
-6.0,-0.0,40.0,170.0,-4.952,G
-6.0,-0.0,50.0,170.0,-4.901,G
-4.0,-0.0,50.0,170.0,-4.441,G
-4.0,-0.0,40.0,170.0,-4.332,G
-4.0,-0.0,30.0,170.0,-4.332,G
-4.0,-0.0,20.0,170.0,-4.344,G
-4.0,-0.0,10.0,170.0,-4.325,G
-4.0,-0.0,0.0,170.0,-4.341,G
-4.0,-0.0,-10.0,170.0,-4.323,G
-4.0,-0.0,-20.0,170.0,-4.341,G
-4.0,-0.0,-30.0,170.0,-4.331,G
-4.0,-0.0,-40.0,170.0,-4.327,G
-4.0,-0.0,-50.0,170.0,-4.333,G
-2.0,-0.0,-50.0,170.0,-3.866,G
-2.0,-0.0,-40.0,170.0,-3.743,G
-2.0,-0.0,-30.0,170.0,-3.673,G
-2.0,-0.0,-20.0,170.0,-3.691,G
-2.0,-0.0,-10.0,170.0,-3.709,G
-2.0,-0.0,0.0,170.0,-3.726,G
-2.0,-0.0,10.0,170.0,-3.731,G
-2.0,-0.0,20.0,170.0,-3.750,G
-2.0,-0.0,30.0,170.0,-3.774,G
-2.0,-0.0,40.0,170.0,-3.748,G
-2.0,-0.0,50.0,170.0,-3.738,G
0.0,-0.0,50.0,170.0,-3.302,G
0.0,-0.0,40.0,170.0,-3.170,G
0.0,-0.0,30.0,170.0,-3.179,G
0.0,-0.0,20.0,170.0,-3.178,G
0.0,-0.0,10.0,170.0,-3.139,G
0.0,-0.0,0.0,170.0,-3.149,G
0.0,-0.0,-10.0,170.0,-3.171,G
0.0,-0.0,-20.0,170.0,-3.163,G
0.0,-0.0,-30.0,170.0,-3.170,G
0.0,-0.0,-40.0,170.0,-3.160,G
0.0,-0.0,-50.0,170.0,-3.125,G
2.0,-0.0,-50.0,170.0,-2.692,G
2.0,-0.0,-40.0,170.0,-2.512,G
2.0,-0.0,-30.0,170.0,-2.470,G
2.0,-0.0,-20.0,170.0,-2.487,G
2.0,-0.0,-10.0,170.0,-2.505,G
2.0,-0.0,0.0,170.0,-2.493,G
2.0,-0.0,10.0,170.0,-2.501,G
2.0,-0.0,20.0,170.0,-2.535,G
2.0,-0.0,30.0,170.0,-2.551,G
2.0,-0.0,40.0,170.0,-2.538,G
2.0,-0.0,50.0,170.0,-2.511,G
4.0,-0.0,50.0,170.0,-1.998,G
4.0,-0.0,40.0,170.0,-1.925,G
4.0,-0.0,30.0,170.0,-1.916,G
4.0,-0.0,20.0,170.0,-1.930,G
4.0,-0.0,10.0,170.0,-1.887,G
4.0,-0.0,0.0,170.0,-1.901,G
4.0,-0.0,-10.0,170.0,-1.923,G
4.0,-0.0,-20.0,170.0,-1.924,G
4.0,-0.0,-30.0,170.0,-1.914,G
4.0,-0.0,-40.0,170.0,-1.922,G
4.0,-0.0,-50.0,170.0,-1.905,G
6.0,-0.0,-50.0,170.0,-1.383,G
6.0,-0.0,-40.0,170.0,-1.265,G
6.0,-0.0,-30.0,170.0,-1.221,G
6.0,-0.0,-20.0,170.0,-1.208,G
6.0,-0.0,-10.0,170.0,-1.248,G
6.0,-0.0,0.0,170.0,-1.268,G
6.0,-0.0,10.0,170.0,-1.288,G
6.0,-0.0,20.0,170.0,-1.324,G
6.0,-0.0,30.0,170.0,-1.300,G
6.0,-0.0,40.0,170.0,-1.291,G
6.0,-0.0,50.0,170.0,-1.285,G
8.0,-0.0,50.0,170.0,-0.788,G
8.0,-0.0,40.0,170.0,-0.694,G
8.0,-0.0,30.0,170.0,-0.694,G
8.0,-0.0,20.0,170.0,-0.704,G
8.0,-0.0,10.0,170.0,-0.694,G
8.0,-0.0,0.0,170.0,-0.678,G
8.0,-0.0,-10.0,170.0,-0.678,G
8.0,-0.0,-20.0,170.0,-0.642,G
8.0,-0.0,-30.0,170.0,-0.662,G
8.0,-0.0,-40.0,170.0,-0.656,G
8.0,-0.0,-50.0,170.0,-0.672,G
10.0,0.0,-50.0,170.0,-0.177,G
10.0,0.0,-40.0,170.0,-0.047,G
10.0,0.0,-30.0,170.0,0.004,G
10.0,0.0,-20.0,170.0,0.016,G
10.0,0.0,-10.0,170.0,-0.003,G
10.0,0.0,0.0,170.0,-0.023,G
10.0,0.0,10.0,170.0,-0.035,G
10.0,0.0,20.0,170.0,-0.031,G
10.0,0.0,30.0,170.0,-0.029,G
10.0,0.0,40.0,170.0,-0.035,G
10.0,0.0,50.0,170.0,-0.024,G
