X,Y,Z,Rotation,Data,Unit
-400.0,0.0,-60.0,80.0,3.721,G
-380.0,0.0,-60.0,80.0,4.297,G
-360.0,0.0,-60.0,80.0,5.229,G
-340.0,0.0,-60.0,80.0,6.610,G
-320.0,0.0,-60.0,80.0,8.093,G
-300.0,0.0,-60.0,80.0,9.857,G
-280.0,0.0,-60.0,80.0,12.360,G
-260.0,0.0,-60.0,80.0,15.181,G
-240.0,0.0,-60.0,80.0,19.035,G
-220.0,0.0,-60.0,80.0,24.063,G
-200.0,0.0,-60.0,80.0,31.036,G
-180.0,0.0,-60.0,80.0,40.230,G
-160.0,0.0,-60.0,80.0,53.055,G
-140.0,0.0,-60.0,80.0,70.212,G
-120.0,0.0,-60.0,80.0,2.770,G
-100.0,0.0,-60.0,80.0,118.821,G
-80.0,0.0,-60.0,80.0,143.596,G
-60.0,0.0,-60.0,80.0,161.332,G
-40.0,0.0,-60.0,80.0,170.616,G
-20.0,0.0,-60.0,80.0,174.804,G
0.0,0.0,-60.0,80.0,176.092,G
20.0,0.0,-60.0,80.0,175.568,G
40.0,0.0,-60.0,80.0,171.704,G
60.0,0.0,-60.0,80.0,163.367,G
80.0,0.0,-60.0,80.0,146.716,G
100.0,0.0,-60.0,80.0,122.900,G
120.0,0.0,-60.0,80.0,96.658,G
140.0,0.0,-60.0,80.0,73.380,G
160.0,0.0,-60.0,80.0,55.338,G
180.0,0.0,-60.0,80.0,42.094,G
200.0,0.0,-60.0,80.0,32.385,G
220.0,0.0,-60.0,80.0,25.293,G
240.0,0.0,-60.0,80.0,19.740,G
260.0,0.0,-60.0,80.0,15.887,G
280.0,0.0,-60.0,80.0,12.797,G
300.0,0.0,-60.0,80.0,10.248,G
320.0,0.0,-60.0,80.0,8.438,G
340.0,0.0,-60.0,80.0,6.878,G
360.0,0.0,-60.0,80.0,5.564,G
380.0,0.0,-60.0,80.0,4.856,G
400.0,0.0,-60.0,80.0,4.004,G
400.0,0.0,-40.0,80.0,3.881,G
380.0,0.0,-40.0,80.0,4.482,G
360.0,0.0,-40.0,80.0,5.491,G
340.0,0.0,-40.0,80.0,7.019,G
320.0,0.0,-40.0,80.0,8.513,G
300.0,0.0,-40.0,80.0,10.356,G
280.0,0.0,-40.0,80.0,13.098,G
260.0,0.0,-40.0,80.0,16.609,G
240.0,0.0,-40.0,80.0,20.696,G
220.0,0.0,-40.0,80.0,26.278,G
200.0,0.0,-40.0,80.0,34.062,G
