X,Y,Z,Rotation,Data,Unit
-0.0,-5.0,-50.0,80.0,0.495,G
-0.0,-5.0,-40.0,80.0,0.327,G
-0.0,-5.0,-30.0,80.0,0.330,G
-0.0,-5.0,-20.0,80.0,0.338,G
-0.0,-5.0,-10.0,80.0,0.361,G
-0.0,-5.0,0.0,80.0,0.363,G
-0.0,-5.0,10.0,80.0,0.375,G
-0.0,-5.0,20.0,80.0,0.405,G
-0.0,-5.0,30.0,80.0,0.427,G
-0.0,-5.0,40.0,80.0,0.493,G
-0.0,-5.0,50.0,80.0,0.520,G
-0.0,-3.0,50.0,80.0,0.023,G
-0.0,-3.0,40.0,80.0,-0.078,G
-0.0,-3.0,30.0,80.0,-0.100,G
-0.0,-3.0,20.0,80.0,-0.171,G
-0.0,-3.0,10.0,80.0,-0.215,G
-0.0,-3.0,0.0,80.0,-0.232,G
-0.0,-3.0,-10.0,80.0,-0.264,G
-0.0,-3.0,-20.0,80.0,-0.281,G
-0.0,-3.0,-30.0,80.0,-0.295,G
-0.0,-3.0,-40.0,80.0,-0.321,G
-0.0,-3.0,-50.0,80.0,-0.323,G
-0.0,-1.0,-50.0,80.0,-0.744,G
-0.0,-1.0,-40.0,80.0,-0.864,G
-0.0,-1.0,-30.0,80.0,-0.880,G
-0.0,-1.0,-20.0,80.0,-0.861,G
-0.0,-1.0,-10.0,80.0,-0.883,G
-0.0,-1.0,0.0,80.0,-0.872,G
-0.0,-1.0,10.0,80.0,-0.857,G
-0.0,-1.0,20.0,80.0,-0.818,G
-0.0,-1.0,30.0,80.0,-0.788,G
-0.0,-1.0,40.0,80.0,-0.740,G
-0.0,-1.0,50.0,80.0,-0.725,G
-0.0,1.0,50.0,80.0,-1.197,G
-0.0,1.0,40.0,80.0,-1.300,G
-0.0,1.0,30.0,80.0,-1.363,G
-0.0,1.0,20.0,80.0,-1.391,G
-0.0,1.0,10.0,80.0,1.442,G
-0.0,1.0,0.0,80.0,-1.488,G
-0.0,1.0,-10.0,80.0,-1.509,G
-0.0,1.0,-20.0,80.0,-1.519,G
-0.0,1.0,-30.0,80.0,-1.542,G
-0.0,1.0,-40.0,80.0,-1.577,G
-0.0,1.0,-50.0,80.0,-1.596,G
-0.0,3.0,-50.0,80.0,-2.073,G
-0.0,3.0,-40.0,80.0,-2.142,G
-0.0,3.0,-30.0,80.0,-2.156,G
-0.0,3.0,-20.0,80.0,-2.138,G
-0.0,3.0,-10.0,80.0,-2.116,G
-0.0,3.0,0.0,80.0,-2.088,G
-0.0,3.0,10.0,80.0,-2.086,G
-0.0,3.0,20.0,80.0,-2.055,G
-0.0,3.0,30.0,80.0,-2.032,G
-0.0,3.0,40.0,80.0,-1.974,G
-0.0,3.0,50.0,80.0,-1.948,G
-0.0,5.0,50.0,80.0,-2.396,G
-0.0,5.0,40.0,80.0,-2.549,G
-0.0,5.0,30.0,80.0,-2.593,G
-0.0,5.0,20.0,80.0,-2.625,G
-0.0,5.0,10.0,80.0,-2.661,G
-0.0,5.0,0.0,80.0,-2.703,G
-0.0,5.0,-10.0,80.0,-2.742,G
-0.0,5.0,-20.0,80.0,-2.732,G
-0.0,5.0,-30.0,80.0,-2.741,G
-0.0,5.0,-40.0,80.0,-2.784,G
-0.0,5.0,-50.0,80.0,-2.808,G
