X,Y,Z,Rotation,Data,Unit
-100.0,-50.0,-200.0,30.0,0.893,G
-100.0,-50.0,-150.0,30.0,0.917,G
-100.0,-50.0,-100.0,30.0,0.889,G
-100.0,-50.0,-50.0,30.0,0.884,G
-100.0,-50.0,0.0,30.0,0.887,G
-100.0,-50.0,50.0,30.0,0.970,G
-100.0,-50.0,100.0,30.0,1.054,G
-100.0,-50.0,150.0,30.0,1.111,G
-100.0,-50.0,200.0,30.0,1.126,G
-100.0,0.0,200.0,30.0,1.278,G
-100.0,0.0,150.0,30.0,1.231,G
-100.0,0.0,100.0,30.0,1.118,G
-100.0,0.0,50.0,30.0,0.918,G
-100.0,0.0,0.0,30.0,0.827,G
-100.0,0.0,-50.0,30.0,0.702,G
-100.0,0.0,-100.0,30.0,0.696,G
-100.0,0.0,-150.0,30.0,0.678,G
-100.0,0.0,-200.0,30.0,0.671,G
-100.0,50.0,-200.0,30.0,0.612,G
-100.0,50.0,-150.0,30.0,0.616,G
-100.0,50.0,-100.0,30.0,0.608,G
-100.0,50.0,-50.0,30.0,0.558,G
-100.0,50.0,0.0,30.0,0.575,G
-100.0,50.0,50.0,30.0,0.651,G
-100.0,50.0,100.0,30.0,0.753,G
-100.0,50.0,150.0,30.0,0.823,G
-100.0,50.0,200.0,30.0,0.899,G
-50.0,50.0,200.0,30.0,1.017,G
-50.0,50.0,150.0,30.0,1.064,G
-50.0,50.0,100.0,30.0,0.988,G
-50.0,50.0,50.0,30.0,0.830,G
-50.0,50.0,0.0,30.0,0.750,G
-50.0,50.0,-50.0,30.0,0.645,G
-50.0,50.0,-100.0,30.0,0.617,G
-50.0,50.0,-150.0,30.0,0.647,G
-50.0,50.0,-200.0,30.0,0.663,G
-50.0,0.0,-200.0,30.0,0.749,G
-50.0,0.0,-150.0,30.0,0.770,G
-50.0,0.0,-100.0,30.0,0.813,G
-50.0,0.0,-50.0,30.0,0.777,G
-50.0,0.0,0.0,30.0,0.796,G
-50.0,0.0,50.0,30.0,0.867,G
-50.0,0.0,100.0,30.0,0.975,G
-50.0,0.0,150.0,30.0,1.067,G
-50.0,0.0,200.0,30.0,1.193,G
-50.0,-50.0,200.0,30.0,1.224,G
-50.0,-50.0,150.0,30.0,1.192,G
-50.0,-50.0,100.0,30.0,1.080,G
-50.0,-50.0,50.0,30.0,1.009,G
-50.0,-50.0,0.0,30.0,0.903,G
-50.0,-50.0,-50.0,30.0,0.850,G
-50.0,-50.0,-100.0,30.0,0.825,G
-50.0,-50.0,-150.0,30.0,0.850,G
-50.0,-50.0,-200.0,30.0,0.871,G
0.0,-50.0,-200.0,30.0,0.876,G
0.0,-50.0,-150.0,30.0,0.893,G
0.0,-50.0,-100.0,30.0,0.889,G
0.0,-50.0,-50.0,30.0,0.866,G
0.0,-50.0,0.0,30.0,0.879,G
0.0,-50.0,50.0,30.0,0.974,G
0.0,-50.0,100.0,30.0,1.004,G
0.0,-50.0,150.0,30.0,1.068,G
0.0,-50.0,200.0,30.0,1.166,G
0.0,0.0,200.0,30.0,1.204,G
0.0,0.0,150.0,30.0,1.127,G
0.0,0.0,100.0,30.0,1.014,G
0.0,0.0,50.0,30.0,0.879,G
0.0,0.0,0.0,30.0,0.824,G
0.0,0.0,-50.0,30.0,0.712,G
0.0,0.0,-100.0,30.0,0.692,G
0.0,0.0,-150.0,30.0,0.723,G
0.0,0.0,-200.0,30.0,0.738,G
0.0,50.0,-200.0,30.0,0.678,G
0.0,50.0,-150.0,30.0,0.692,G
0.0,50.0,-100.0,30.0,0.673,G
0.0,50.0,-50.0,30.0,0.649,G
0.0,50.0,0.0,30.0,0.656,G
0.0,50.0,50.0,30.0,0.714,G
0.0,50.0,100.0,30.0,0.856,G
0.0,50.0,150.0,30.0,0.905,G
0.0,50.0,200.0,30.0,1.048,G
50.0,50.0,200.0,30.0,1.098,G
50.0,50.0,150.0,30.0,1.057,G
50.0,50.0,100.0,30.0,0.974,G
50.0,50.0,50.0,30.0,0.855,G
50.0,50.0,0.0,30.0,0.790,G
50.0,50.0,-50.0,30.0,0.662,G
50.0,50.0,-100.0,30.0,0.629,G
50.0,50.0,-150.0,30.0,0.630,G
50.0,50.0,-200.0,30.0,0.661,G
50.0,0.0,-200.0,30.0,0.718,G
50.0,0.0,-150.0,30.0,0.776,G
50.0,0.0,-100.0,30.0,-7.385,G
50.0,0.0,-50.0,30.0,0.522,G
50.0,0.0,0.0,30.0,0.644,G
50.0,0.0,50.0,30.0,0.833,G
50.0,0.0,100.0,30.0,0.947,G
50.0,0.0,150.0,30.0,1.024,G
50.0,0.0,200.0,30.0,1.078,G
50.0,-50.0,200.0,30.0,1.168,G
50.0,-50.0,150.0,30.0,1.136,G
50.0,-50.0,100.0,30.0,1.034,G
50.0,-50.0,50.0,30.0,0.947,G
50.0,-50.0,0.0,30.0,0.860,G
50.0,-50.0,-50.0,30.0,0.799,G
50.0,-50.0,-100.0,30.0,0.781,G
50.0,-50.0,-150.0,30.0,0.782,G
50.0,-50.0,-200.0,30.0,0.797,G
100.0,-50.0,-200.0,30.0,0.773,G
100.0,-50.0,-150.0,30.0,0.789,G
100.0,-50.0,-100.0,30.0,0.792,G
100.0,-50.0,-50.0,30.0,0.788,G
100.0,-50.0,0.0,30.0,0.775,G
100.0,-50.0,50.0,30.0,0.869,G
100.0,-50.0,100.0,30.0,0.950,G
100.0,-50.0,150.0,30.0,1.032,G
100.0,-50.0,200.0,30.0,1.068,G
100.0,0.0,200.0,30.0,1.096,G
100.0,0.0,150.0,30.0,1.076,G
100.0,0.0,100.0,30.0,0.939,G
100.0,0.0,50.0,30.0,0.867,G
100.0,0.0,0.0,30.0,0.788,G
100.0,0.0,-50.0,30.0,0.683,G
100.0,0.0,-100.0,30.0,0.668,G
100.0,0.0,-150.0,30.0,0.666,G
100.0,0.0,-200.0,30.0,0.669,G
100.0,50.0,-200.0,30.0,0.656,G
100.0,50.0,-150.0,30.0,0.647,G
100.0,50.0,-100.0,30.0,0.642,G
100.0,50.0,-50.0,30.0,0.629,G
100.0,50.0,0.0,30.0,0.643,G
100.0,50.0,50.0,30.0,0.715,G
100.0,50.0,100.0,30.0,0.774,G
100.0,50.0,150.0,30.0,0.898,G
100.0,50.0,200.0,30.0,0.972,G
-100.0,-50.0,200.0,35.0,1.055,G
-100.0,-50.0,150.0,35.0,1.029,G
-100.0,-50.0,100.0,35.0,0.947,G
-100.0,-50.0,50.0,35.0,0.860,G
-100.0,-50.0,0.0,35.0,0.782,G
-100.0,-50.0,-50.0,35.0,0.736,G
-100.0,-50.0,-100.0,35.0,0.694,G
-100.0,-50.0,-150.0,35.0,0.688,G
-100.0,-50.0,-200.0,35.0,0.704,G
-100.0,0.0,-200.0,35.0,0.657,G
-100.0,0.0,-150.0,35.0,0.636,G
-100.0,0.0,-100.0,35.0,0.628,G
-100.0,0.0,-50.0,35.0,0.608,G
-100.0,0.0,0.0,35.0,0.613,G
-100.0,0.0,50.0,35.0,0.717,G
-100.0,0.0,100.0,35.0,0.808,G
-100.0,0.0,150.0,35.0,0.866,G
-100.0,0.0,200.0,35.0,0.983,G
-100.0,50.0,200.0,35.0,1.014,G
-100.0,50.0,150.0,35.0,1.032,G
