X,Y,Z,Rotation
0.0,40.0,60.0,0.0
15.0,40.0,60.0,0.0
15.0,40.0,50.0,0.0
0.0,40.0,50.0,0.0
0.0,40.0,40.0,0.0
15.0,40.0,40.0,0.0
15.0,50.0,40.0,0.0
0.0,50.0,40.0,0.0
0.0,50.0,50.0,0.0
15.0,50.0,50.0,0.0
15.0,50.0,60.0,0.0
0.0,50.0,60.0,0.0
0.0,60.0,60.0,0.0
15.0,60.0,60.0,0.0
15.0,60.0,50.0,0.0
0.0,60.0,50.0,0.0
0.0,60.0,40.0,0.0
15.0,60.0,40.0,0.0
15.0,40.0,60.0,90.0
0.0,40.0,60.0,90.0
0.0,40.0,50.0,90.0
15.0,40.0,50.0,90.0
15.0,40.0,40.0,90.0
0.0,40.0,40.0,90.0
0.0,50.0,40.0,90.0
15.0,50.0,40.0,90.0
15.0,50.0,50.0,90.0
0.0,50.0,50.0,90.0
0.0,50.0,60.0,90.0
15.0,50.0,60.0,90.0
15.0,60.0,60.0,90.0
0.0,60.0,60.0,90.0
0.0,60.0,50.0,90.0
15.0,60.0,50.0,90.0
15.0,60.0,40.0,90.0
0.0,60.0,40.0,90.0
