X,Y,Z,Rotation
-0.0,-60.0,-400.0,80.0
-0.0,-60.0,-380.0,80.0
-0.0,-60.0,-360.0,80.0
-0.0,-60.0,-340.0,80.0
-0.0,-60.0,-320.0,80.0
-0.0,-60.0,-300.0,80.0
-0.0,-60.0,-280.0,80.0
-0.0,-60.0,-260.0,80.0
-0.0,-60.0,-240.0,80.0
-0.0,-60.0,-220.0,80.0
-0.0,-60.0,-200.0,80.0
-0.0,-60.0,-180.0,80.0
-0.0,-60.0,-160.0,80.0
-0.0,-60.0,-140.0,80.0
-0.0,-60.0,-120.0,80.0
-0.0,-60.0,-100.0,80.0
-0.0,-60.0,-80.0,80.0
-0.0,-60.0,-60.0,80.0
-0.0,-60.0,-40.0,80.0
-0.0,-60.0,-20.0,80.0
-0.0,-60.0,0.0,80.0
-0.0,-60.0,20.0,80.0
-0.0,-60.0,40.0,80.0
-0.0,-60.0,60.0,80.0
-0.0,-60.0,80.0,80.0
-0.0,-60.0,100.0,80.0
-0.0,-60.0,120.0,80.0
-0.0,-60.0,140.0,80.0
-0.0,-60.0,160.0,80.0
-0.0,-60.0,180.0,80.0
-0.0,-60.0,200.0,80.0
-0.0,-60.0,220.0,80.0
-0.0,-60.0,240.0,80.0
-0.0,-60.0,260.0,80.0
-0.0,-60.0,280.0,80.0
-0.0,-60.0,300.0,80.0
-0.0,-60.0,320.0,80.0
-0.0,-60.0,340.0,80.0
-0.0,-60.0,360.0,80.0
-0.0,-60.0,380.0,80.0
-0.0,-60.0,400.0,80.0
-0.0,-40.0,400.0,80.0
-0.0,-40.0,380.0,80.0
-0.0,-40.0,360.0,80.0
-0.0,-40.0,340.0,80.0
-0.0,-40.0,320.0,80.0
-0.0,-40.0,300.0,80.0
-0.0,-40.0,280.0,80.0
-0.0,-40.0,260.0,80.0
-0.0,-40.0,240.0,80.0
-0.0,-40.0,220.0,80.0
-0.0,-40.0,200.0,80.0
-0.0,-40.0,180.0,80.0
-0.0,-40.0,160.0,80.0
